Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS Version,ADAS/ADS Version - Unknown,ADAS/ADS Version CBI,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude  - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,system_type
62-1320,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,1HGCR2F7XFA, ,,Honda,Accord, ,2015.0, ,7027e716a33c120,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,AUG-2021, ,SEP-2021,,Y,64b76dbc7f3d592,,Y,,Y,,Y,Albany, ,NY ,,Y,Intersection,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Unknown,Proceeding Straight,Unknown,Unknown, , , , , ,Y, , , , , ,Stopped,No,Yes,Unknown,0.0, , , , ,Y, , , , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"The customer was stopped at a red light when another vehicle rear-ended the customer at full speed.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1213,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,5FNYF6H56GB, ,,Honda,Pilot, ,2016.0, ,6d0cd1fd6a818a6,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JUL-2021, ,SEP-2021,,Y,055a8164a213d2a,,Y,,Y,,Y,Detroit, ,MI ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,"Other, see Narrative",Unknown,Unknown,Unknown,No,Unknown, , , , , , , , , , ,Y,Unknown,No,Yes,Unknown,,Y, ,Y, , , , , , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"A tow company contacted Honda on behalf of the customer to request a rental car reimbursement. The tow company mentioned that the customer was impacted on its driver's side by a side by side vehicle.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1143,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,5FNYF8H53LB, ,,Honda,Passport, ,2020.0, ,a4e004e9cda1266,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,MAY-2021, ,JUL-2021,,Y,c3405078df05db2,,Y,,Y,,Y,Bombay, ,NY ,,Y,Intersection,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Unknown,,Y,Y, , , , , , , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Customer was exiting 4-way intersection when another vehicle hit her on the driver-side rear tire.  There were no reported injuries.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1142,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,19UUB1F58LA, ,,Acura,TLX, ,2020.0, ,7f9e11c7d5c484d,14279.0, ,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JUL-2021, ,JUL-2021,,Y,fd9c83ee91a9042,,Y,,Y,,Y,West Babylon, ,NY ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,No,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Unknown,,Y, , , , , , , , , , ,Y, , , ,Y, , , , ,No,, ,Unknown,, ,, ,, ,"Unknown, see Narrative", ,"Customer states she attempted to brake and lost control, causing her to rear-end another vehicle.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1141,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,5FNYF5H95MB, ,,Honda,Pilot, ,2021.0, ,c307aeda509ded7,5500.0, ,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JUL-2021, ,JUL-2021,,Y,cca6853125aa31d,,Y,,Y,,Y,Brooklyn, ,NY ,,Y,Intersection,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Non-Motorist: Cyclist,Unknown,Unknown,Proceeding Straight,,, , , , , , , , , , , ,Proceeding Straight,No,No,Unknown,,Y, , , , , , , ,Y, , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Customer states they came to a complete stop and began proceeding forward when a bicyclist, running a stop sign, impacted the passenger side of the vehicle.  Cyclist was taken to the hospital.  Customer called requesting reimbursement for a rental car.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1137,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,5FPYK3F7XJB, ,,Honda,Ridgeline, ,2018.0, ,55b128ea8bea3ec,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,MAY-2021, ,AUG-2021,,Y,66bb03520335eb1,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Manassas, ,VA ,,Y,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Pickup Truck,Minor,No,Entering Traffic,Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Unknown,,Y, , , , , , , , , , ,Y, , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Subject vehicle was southbound on [XXX] when it struck a truck coming out from a construction area. Customer states the vehicle's adaptive cruise control and lane keeping assist system were engaged at the time of the incident.  The subject vehicle was towed from scene.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1144,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,19UUB2F41LA, ,,Acura,TLX, ,2020.0, ,9b0fcae003d759b,18000.0, ,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JUL-2021, ,AUG-2021,,Y,2b5dc97ec895143,,Y,,Y,,Y,Griffin, ,GA ,,Y,Street,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Pole / Tree,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Unknown,20.0, , , , , , , , , , , ,Y, , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Customer states they were driving home from the grocery store, going 20mph, and hit a light pole.  No injuries were reported.  Customer called in requesting help with part order and assistance with a rental car.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
62-1145,2,Honda (American Honda Motor Co.),Other Update,,,FEB-2022,5J8YD4H86LL, ,,Acura,MDX, ,2020.0, ,27ba40ccda09c27,12000.0, ,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JUN-2021, ,JUL-2021,,Y,8db1cbccd449e1a,,Y,,Y,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,FL ,,Y,Intersection,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,"Other, see Narrative",Unknown,Unknown,"Other, see Narrative",Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Yes,Unknown,,Y, , , , , , , , , , ,Y, , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Customer states she was driving down [XXX] when another vehicle ran a red light causing the subject vehicle to T-bone the other vehicle.  Customer states she was then rear-ended by a third vehicle and front-ended by a fourth vehicle.  Customer went to the hospital the next day.
2/[XXX]/22 Update - Changed the 'AUTOMATION SYSTEM ENGAGED AT THE TIME OF THE INCIDENT' field from 'ADAS' to 'Unknown, See Narrative'.", ,ADAS
540-2375,1,"General Motors, LLC",1-Day,,,FEB-2022,1G6KP5R62KU, ,,Cadillac,CT6, ,2019.0, ,98d1e30fb28769b,86110.0, ,Consumer,Level 2, , ,No,ADAS,, , ,Y,Y, , , , ,,FEB-2022, ,FEB-2022,09:41, ,07213bfb9b1eeb2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Boca Raton, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,Unknown,65.0, ,Daylight, , ,Y, , , , , ,,Other Fixed Object,Minor,Yes,,,, , , , , , , , , , , ,Lane / Road Departure,No,Yes,"No, see Narrative",70.0, , , , , , , , , , , ,Y,Y, ,Y, , , , , ,Unknown,,Y,No,,Y,,Y,,Y,Yes, ,"This single-vehicle crash involved a 2019 Cadillac CT6 that hit a highway median. GM's current understanding of the crash is based on OnStar telematics data and the driver's statements after the crash to an OnStar representative.  Before the crash, the vehicle was proceeding on a highway road with Super Cruise engaged at 70 mph at 09:41:21.  According to the OnStar audio recordings, the driver stated that his knee contacted the steering wheel causing the vehicle to veer left and crash into the highway median.  Telematics data indicates that the vehicle was in Super Cruise ""active"" mode when the steering wheel was manually moved and the vehicle entered a manual override mode 7 seconds prior to the crash.  According to the AACN report, airbags were not deployed and the driver was not buckled.  According to the OnStar Audio recording the driver hit his head on the roof rail and commented that his back hurt and may need an x-ray, however, it is unknown if the driver sought medical attention at a hospital. Contact to the local police station confirmed the vehicle was towed.", ,ADAS
62-2376,1,Honda (American Honda Motor Co.),1-Day,,,FEB-2022,1HGCV1F19KA, ,,Honda,Accord, ,2019.0, ,fc9c4bcd86591ae,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,FEB-2022, ,FEB-2022,,Y,c8a5a27f041e61f,,Y,,Y,,Y,Santa Ana, ,CA ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,No Injuries Reported,Unknown,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Yes,Unknown,,Y, , , ,Y, , , , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,The customer was rear-ended by another vehicle and pushed into an intersection. The customer alleges that the Lane Keep Assist System and Adaptive Cruise Control were engaged., ,ADAS
13781-2374,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJSA1E65MF, ,,Tesla,Model S, ,2021.0, ,7fb9c41d27c4cf0,2016.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,14:04, ,b6961e05ee914d1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,North Richland Hills, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,No,Yes,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2373,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJ3E1EB8MF, ,,Tesla,Model 3, ,2021.0, ,97616c68363ea39,22927.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,15:52, ,c5f5bd03bf07daf,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Fairview Park, ,OH ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2372,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJ3E1EA8MF, ,,Tesla,Model 3, ,2021.0, ,d846268fcae9402,22011.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,20:27, ,4422da7c2172907,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tampa, ,FL ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2371,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJ3E1EA7KF, ,,Tesla,Model 3, ,2019.0, ,55a8eb5e94b8d51,44189.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,06:41, ,c72bb89e9df24eb,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Corona, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2370,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJ3E1EA3KF, ,,Tesla,Model 3, ,2019.0, ,0b86fc822e4b96d,28264.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,04:58, ,5533db19ebf2aa3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Diego, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2369,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJSA1E27HF, ,,Tesla,Model S, ,2017.0, ,ed83667537b2350,69658.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,05:37, ,3f48a87d6604b4d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,La Mesa, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
62-2368,1,Honda (American Honda Motor Co.),1-Day,,,FEB-2022,5FNRL6H50MB, ,,Honda,Odyssey, ,2021.0, ,8ff6f2ecddfd29d,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,FEB-2022, ,FEB-2022,,Y,602c27df759ba67,,Y,,Y,,Y,San Antonio, ,TX ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Serious,Unknown,Proceeding Straight,Unknown,Unknown, , , , , ,Y, , , , , ,Unknown,No,Yes,Unknown,,Y, , , ,Y, , , , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,The customer was slowing down when a vehicle rear-ended him. The customer alleges that both the Lane Keep Assist System and Adaptive Cruise Control were engaged., ,ADAS
62-2367,1,Honda (American Honda Motor Co.),1-Day,,,FEB-2022,19UDE2F77KA, ,,Acura,ILX, ,2019.0, ,d56704201b78ad7,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,JAN-2022, ,FEB-2022,,Y,42d05fde5aebf65,,Y,,Y,,Y,Leesburg, ,VA ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,No Injuries Reported,No,Stopped,Unknown,Unknown, , , ,Y, , , , , , , ,Proceeding Straight,Yes,Yes,Unknown,,Y, , , , , ,Y, , , , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,The customer rear-ended the vehicle in front of him after that vehicle stopped suddenly due to traffic conditions. The customer alleges that the Lane Keep Assist System and Adaptive Cruise Control were engaged., ,ADAS
13781-2324,2,"Tesla, Inc.",10-Day Update,,,FEB-2022,7SAYGAEE7NF, ,,Tesla,Model Y, ,2022.0, ,416fb63dbdcad91,6630.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,"Unknown, see Narrative",, ,Y, , , , , , ,,FEB-2022, ,FEB-2022,3:02, ,85ba5450941916e,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Emporia, ,VA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,60.0, ,Daylight,Y, , , , , , , ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Unknown,Unknown,67.0, , , , , , , , , , , ,Y,Y, ,Y,Y,Y, , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
62-2363,1,Honda (American Honda Motor Co.),1-Day,,,FEB-2022,19UUB7F0XMA, ,,Acura,TLX, ,2021.0, ,e0af18f6c3963ab,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,DEC-2021, ,FEB-2022,,Y,0ea1ec98f503cf2,,Y,,Y,,Y,New York, ,NY ,,Y,Parking Lot,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,No Injuries Reported,Unknown,Backing,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,No,Unknown,,Y, , , , , , ,Y,Y, , , , , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,The customer was driving through a parking lot when another vehicle back out of a parking spot and hit the customer. The customer alleges that the Lane Keep Assist System and Adaptive Cruise Control were engaged., ,ADAS
62-2360,1,Honda (American Honda Motor Co.),1-Day,,,FEB-2022,5J8YD4H38LL, ,,Acura,MDX, ,2020.0, ,4d548a59c414cba,,Y,Consumer,,Y, ,No,"Unknown, see Narrative",, ,Y, , , , , , ,,DEC-2021, ,FEB-2022,,Y,3461df2282d70cb,,Y,,Y,,Y,Chalfont, ,PA ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Moderate,Unknown,Changing Lanes,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,No,Yes,Unknown,,Y, , , , , , , , , , ,Y, , , ,Y, , , , ,No,, ,No,, ,, ,, ,"Unknown, see Narrative", ,"Customer alleges that another driver was texting and crossed over into his lane, causing a crash. Customer alleges that the Lane Keep Assist System and Adaptive Cruise Control were engaged.", ,ADAS
13781-2355,1,"Tesla, Inc.",1-Day,,,FEB-2022,5YJYGDEE2MF, ,,Tesla,Model Y, ,2021.0, ,76203aa65db3d1d,53744.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,08:39, ,0b95486b6cfaa05,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Rochester, ,NY ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
13781-2341,2,"Tesla, Inc.",10-Day Update,,,FEB-2022,5YJ3E1EB7KF, ,,Tesla,Model 3, ,2019.0, ,b6246e857635f8a,30477.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,FEB-2022, ,FEB-2022,14:08, ,dad1f5a24a58be6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Great Falls, ,VA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Rural Road,Dry,"Other, see Narrative",35.0, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",Unknown,Yes,Proceeding Straight,Unknown,Unknown,Y, , , , , , , , , , ,Unknown,Yes,Unknown,Unknown,35.0, , , , , , , , , ,Y, , ,Y, ,Y, ,Y, , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,ADAS
